t,x,vx,z_s,vz_s,pitch,pitch_rate,z_u_FL,z_u_FR,z_u_RL,z_u_RR,Fz_FL,Fz_FR,Fz_RL,Fz_RR,ground_FL,ground_RL,airborne
1.32,20.010385008286615,15.297851801716291,0.39221758427339304,0.5009832352647078,-0.009334903902503007,-0.40888858108344933,0.3915461951117962,0.3915461951117962,0.315396252687237,0.315396252687237,14102.806171139562,14102.806171139562,3212.824408807868,3212.824408807868,0.12564985952606697,0.0,False
1.33,20.163362543859353,15.297625518823805,0.3980304056080646,0.6642798810681351,-0.01406985616163234,-0.5400950741347772,0.41874019237171234,0.41874019237171234,0.3151460281698141,0.3151460281698141,14834.26768769725,14834.26768769725,3267.873802640907,3267.873802640907,0.1561686818612453,0.0,False
1.34,20.31633703509812,15.297254220121136,0.40554934944152354,0.841419811160997,-0.020169798315741706,-0.6811957185345195,0.4493976575064507,0.4493976575064507,0.31485916034573475,0.31485916034573475,15259.854841026565,15259.854841026565,3330.9847239383594,3330.9847239383594,0.18876063405657142,0.0,False
1.35,20.46930737273945,15.296806295453639,0.41488892483097023,1.0275933732096774,-0.02771282383554704,-0.8280124005801422,0.4830599977933219,0.4830599977933219,0.31454943171940486,0.31454943171940486,15377.000307293667,15377.000307293667,3399.1250217309343,3399.1250217309343,0.2229554537355659,0.0,False
1.36,20.622273136560196,15.296351040218308,0.42611495796852056,1.2178883815123434,-0.036735153338213686,-0.9763636214772339,0.5192293160870558,0.5192293160870558,0.31423218183281054,0.31423218183281054,15186.739330035418,15186.739330035418,3468.919996781684,3468.919996781684,0.25825994940539854,0.0,False
1.37,20.775234600457882,15.295957827841022,0.4392439634659353,1.4073660577794225,-0.04723149770584007,-1.1221397229103038,0.557372801383409,0.557372801383409,0.31392325590258735,0.31392325590258735,14694.3184858011,14694.3184858011,3536.8837014307865,3536.8837014307865,0.2941651581370503,0.0,False
1.38,20.92819272824259,15.295695114979779,0.45424258180540183,1.5906540712419521,-0.05915555888630766,-1.2609693847405201,0.5969355481521318,0.5969355481521318,0.31363836523844296,0.31363836523844296,13907.992384770867,13907.992384770867,3599.559647542552,3599.559647542552,0.33015369535563577,0.0,False
1.39,21.081149174422332,15.295634579596312,0.4710097429426178,1.7602934189200508,-0.07240624309191729,-1.3868594082014245,0.6375899696868923,0.6375899696868923,0.3133933668852863,0.3133933668852863,12785.789042090388,12785.789042090388,3653.4592852370183,3653.4592852370183,0.365707192605485,0.0,False
1.4,21.23410637070054,15.295858936514714,0.489394787986683,1.9137404886013265,-0.08684380522419732,-1.4979917662706845,0.6788905331114734,0.6788905331114734,0.3132042728793973,0.3132042728793973,11313.104307829906,11313.104307829906,3695.0599665326013,3695.0599665326013,0.4003137345107003,0.0,False
1.41,21.387067552955394,15.29644201554219,0.5092180407235166,2.0472356862643397,-0.10230768582259217,-1.5916071980100919,0.7199587682676399,0.7199587682676399,0.313084668468723,0.313084668468723,9573.604648943394,9573.604648943394,3749.3402575323453,3749.3402575323453,0.43347515303556444,0.000127124184779126,False
1.42,21.5400363848567,15.297370590956083,0.5302628607936674,2.158059636362223,-0.11860495552466656,-1.6636918388310649,0.7598175069539977,0.7598175069539977,0.31323541037666464,0.31323541037666464,7677.230822335384,7677.230822335384,4421.981231118312,4421.981231118312,0.46471401069188584,0.0033353250635660635,False
1.43,21.693015647177504,15.298505812877375,0.5523164318418597,2.250138937764363,-0.13548183153156285,-1.7058599736098226,0.797568104622654,0.797568104622654,0.31473312083414284,0.31473312083414284,5722.645107357145,5722.645107357145,5739.350935198614,5739.350935198614,0.4935801278379137,0.010821079630500174,False
1.44,21.84600683904991,15.299744418387718,0.5752276762384819,2.330760566716668,-0.1525913161952054,-1.708909294798398,0.832449331304985,0.832449331304985,0.3190277365999926,0.3190277365999926,3785.6892402491794,3785.6892402491794,7358.936933636231,7358.936933636231,0.5196570096697539,0.022477449934702763,False
1.45,21.99901072371587,15.301040925064122,0.5989116893099012,2.404863664576298,-0.16950937344318742,-1.6665598866412346,0.8638566619974037,0.8638566619974037,0.327220533704625,0.327220533704625,1916.498011672938,1916.498011672938,9001.70680907439,9001.70680907439,0.542568016595917,0.03813738283678129,False
1.46,22.152027859572314,15.302400128658757,0.6232943025931774,2.4703344898984616,-0.18575114023580722,-1.5734505958617773,0.8917267572988428,0.8917267572988428,0.33988506117699907,0.33988506117699907,56.1390536312345,56.1390536312345,10492.018650337926,10492.018650337926,0.5619819348153484,0.05757605504217145,False
1.47,22.305058456256468,15.303672079144633,0.6483026980591265,2.5318813406956684,-0.20082601158923621,-1.4353900546898244,0.9167430866735584,0.9167430866735584,0.35715224995421235,0.35715224995421235,0.0,0.0,11739.590800228509,11739.590800228509,0.5776177803470646,0.08051402631888739,False
1.48,22.458100459697985,15.30469189143371,0.6739635049810258,2.6024179549882906,-0.21436375661515394,-1.2684301795833448,0.9408330352027886,0.9408330352027886,0.37885536356474137,0.37885536356474137,0.0,0.0,12708.406851327612,12708.406851327612,0.5892488022494239,0.10662084925259416,False
1.49,22.611151668362016,15.30552398497202,0.7003960846796722,2.686287856353022,-0.22613441341211046,-1.0832881640451748,0.9649339929191124,0.9649339929191124,0.4046530922351909,0.4046530922351909,0.0,0.0,13390.724733600535,13390.724733600535,0.5967061713361795,0.1355200228424661,False
1.5,22.764210530080007,15.306233246187142,0.7277286599447876,2.781916732099143,-0.2359909550263427,-0.8865316114060096,0.9892592507532998,0.9892592507532998,0.43411517320052434,0.43411517320052434,0.0,0.0,13789.47559568147,13789.47559568147,0.5998814905565598,0.16679460772634921,False
